Date Column,Crop Name,Min Price,Max Price
3/31/2026,Capsicum,100,150
3/30/2026,Capsicum,190,250
3/29/2026,Capsicum,80,140
3/28/2026,Capsicum,100,120
3/27/2026,Capsicum,80,130
3/26/2026,Capsicum,80,120
3/25/2026,Capsicum,100,150
3/24/2026,Capsicum,90,150
3/23/2026,Capsicum,100,150
3/22/2026,Capsicum,100,150
3/21/2026,Capsicum,130,180
3/20/2026,Capsicum,230,260
3/19/2026,Capsicum,150,250
3/18/2026,Capsicum,200,280
3/17/2026,Capsicum,180,280
3/16/2026,Capsicum,200,250
3/15/2026,Capsicum,230,250
3/14/2026,Capsicum,200,280
3/13/2026,Capsicum,250,280
3/12/2026,Capsicum,240,250
3/11/2026,Capsicum,210,230
3/10/2026,Capsicum,210,230
3/9/2026,Capsicum,200,250
3/8/2026,Capsicum,200,240
3/7/2026,Capsicum,200,210
3/6/2026,Capsicum,150,250
3/5/2026,Capsicum,200,300
3/4/2026,Capsicum,250,300
3/3/2026,Capsicum,260,280
3/2/2026,Capsicum,250,300
3/1/2026,Capsicum,200,250
2/28/2026,Capsicum,250,300
2/27/2026,Capsicum,250,350
2/26/2026,Capsicum,200,350
2/25/2026,Capsicum,250,300
2/24/2026,Capsicum,280,400
2/23/2026,Capsicum,350,400
2/22/2026,Capsicum,250,450
2/21/2026,Capsicum,350,400
2/20/2026,Capsicum,350,420
2/19/2026,Capsicum,400,450
2/18/2026,Capsicum,450,500
2/17/2026,Capsicum,400,450
2/16/2026,Capsicum,450,500
2/15/2026,Capsicum,550,600
2/14/2026,Capsicum,450,500
2/13/2026,Capsicum,400,430
2/12/2026,Capsicum,450,500
2/11/2026,Capsicum,450,500
2/10/2026,Capsicum,500,550
2/9/2026,Capsicum,450,600
2/8/2026,Capsicum,550,600
2/7/2026,Capsicum,500,550
2/6/2026,Capsicum,500,600
2/5/2026,Capsicum,650,700
2/4/2026,Capsicum,650,750
2/3/2026,Capsicum,700,800
2/2/2026,Capsicum,800,850
2/1/2026,Capsicum,,
1/31/2026,Capsicum,,
1/30/2026,Capsicum,750,800
1/29/2026,Capsicum,700,850
1/28/2026,Capsicum,750,800
1/27/2026,Capsicum,750,850
1/26/2026,Capsicum,700,800
1/25/2026,Capsicum,450,500
1/24/2026,Capsicum,600,650
1/23/2026,Capsicum,650,700
1/22/2026,Capsicum,550,600
1/21/2026,Capsicum,500,550
1/20/2026,Capsicum,600,700
1/19/2026,Capsicum,600,700
1/18/2026,Capsicum,740,750
1/17/2026,Capsicum,600,650
1/16/2026,Capsicum,500,550
1/15/2026,Capsicum,400,500
1/14/2026,Capsicum,550,650
1/13/2026,Capsicum,500,650
1/12/2026,Capsicum,500,600
1/11/2026,Capsicum,550,650
1/10/2026,Capsicum,550,650
1/9/2026,Capsicum,600,700
1/8/2026,Capsicum,600,700
1/7/2026,Capsicum,790,800
1/6/2026,Capsicum,700,800
1/5/2026,Capsicum,600,700
1/4/2026,Capsicum,800,1000
1/3/2026,Capsicum,,
1/2/2026,Capsicum,1000,1200
1/1/2026,Capsicum,1100,1300
12/31/2025,Capsicum,1200,1600
12/30/2025,Capsicum,1200,1500
12/29/2025,Capsicum,900,1500
12/28/2025,Capsicum,1200,1600
12/27/2025,Capsicum,1400,1600
12/26/2025,Capsicum,1400,1500
12/25/2025,Capsicum,1300,1500
12/24/2025,Capsicum,1200,1300
12/23/2025,Capsicum,1200,1300
12/22/2025,Capsicum,1000,1100
12/21/2025,Capsicum,950,1000
12/20/2025,Capsicum,900,1000
12/19/2025,Capsicum,1000,1300
12/18/2025,Capsicum,1100,1200
12/17/2025,Capsicum,1000,1200
12/16/2025,Capsicum,1000,1100
12/15/2025,Capsicum,,
12/14/2025,Capsicum,900,1000
12/13/2025,Capsicum,800,900
12/12/2025,Capsicum,800,900
12/11/2025,Capsicum,800,900
12/10/2025,Capsicum,1000,1200
12/9/2025,Capsicum,700,800
12/8/2025,Capsicum,700,720
12/7/2025,Capsicum,700,750
12/6/2025,Capsicum,850,900
12/5/2025,Capsicum,650,700
12/4/2025,Capsicum,,
12/3/2025,Capsicum,600,700
12/2/2025,Capsicum,600,700
12/1/2025,Capsicum,500,600
11/30/2025,Capsicum,950,1000
11/29/2025,Capsicum,740,750
11/28/2025,Capsicum,750,800
11/27/2025,Capsicum,500,800
11/26/2025,Capsicum,750,800
11/25/2025,Capsicum,700,750
11/24/2025,Capsicum,650,700
11/23/2025,Capsicum,550,600
11/22/2025,Capsicum,650,700
11/21/2025,Capsicum,700,750
11/20/2025,Capsicum,550,600
11/19/2025,Capsicum,500,600
11/18/2025,Capsicum,500,650
11/17/2025,Capsicum,500,750
11/16/2025,Capsicum,,
11/15/2025,Capsicum,700,750
11/14/2025,Capsicum,600,700
11/13/2025,Capsicum,500,600
11/12/2025,Capsicum,550,600
11/11/2025,Capsicum,640,650
11/10/2025,Capsicum,500,520
11/9/2025,Capsicum,350,400
11/8/2025,Capsicum,750,780
11/7/2025,Capsicum,500,680
11/6/2025,Capsicum,550,600
11/5/2025,Capsicum,550,600
11/4/2025,Capsicum,550,600
11/3/2025,Capsicum,550,600
11/2/2025,Capsicum,,
11/1/2025,Capsicum,,
10/31/2025,Capsicum,,
10/30/2025,Capsicum,,
10/29/2025,Capsicum,400,450
10/28/2025,Capsicum,400,420
10/27/2025,Capsicum,350,400
10/26/2025,Capsicum,350,420
10/25/2025,Capsicum,350,400
10/24/2025,Capsicum,280,300
10/23/2025,Capsicum,300,350
10/22/2025,Capsicum,300,350
10/21/2025,Capsicum,250,300
10/20/2025,Capsicum,190,250
10/19/2025,Capsicum,300,360
10/18/2025,Capsicum,370,380
10/17/2025,Capsicum,200,280
10/16/2025,Capsicum,350,380
10/15/2025,Capsicum,300,350
10/14/2025,Capsicum,300,380
10/13/2025,Capsicum,300,350
10/12/2025,Capsicum,250,300
10/11/2025,Capsicum,250,280
10/10/2025,Capsicum,250,300
10/9/2025,Capsicum,290,300
10/8/2025,Capsicum,340,350
10/7/2025,Capsicum,260,270
10/6/2025,Capsicum,,
10/5/2025,Capsicum,270,280
10/4/2025,Capsicum,300,320
10/3/2025,Capsicum,200,280
10/2/2025,Capsicum,250,300
10/1/2025,Capsicum,230,250
9/30/2025,Capsicum,200,250
9/29/2025,Capsicum,180,200
9/28/2025,Capsicum,150,250
9/27/2025,Capsicum,200,220
9/26/2025,Capsicum,230,250
9/25/2025,Capsicum,150,200
9/24/2025,Capsicum,240,250
9/23/2025,Capsicum,150,250
9/22/2025,Capsicum,230,260
9/21/2025,Capsicum,240,250
9/20/2025,Capsicum,250,280
9/19/2025,Capsicum,200,250
9/18/2025,Capsicum,180,200
9/17/2025,Capsicum,150,270
9/16/2025,Capsicum,200,250
9/15/2025,Capsicum,200,230
9/14/2025,Capsicum,150,250
9/13/2025,Capsicum,240,250
9/12/2025,Capsicum,200,210
9/11/2025,Capsicum,150,200
9/10/2025,Capsicum,150,250
9/9/2025,Capsicum,200,280
9/8/2025,Capsicum,200,250
9/7/2025,Capsicum,200,250
9/6/2025,Capsicum,200,250
9/5/2025,Capsicum,220,260
9/4/2025,Capsicum,200,250
9/3/2025,Capsicum,150,250
9/2/2025,Capsicum,150,250
9/1/2025,Capsicum,200,250
8/31/2025,Capsicum,200,250
8/30/2025,Capsicum,200,250
8/29/2025,Capsicum,200,280
8/28/2025,Capsicum,280,300
8/27/2025,Capsicum,200,300
8/26/2025,Capsicum,200,300
8/25/2025,Capsicum,240,380
8/24/2025,Capsicum,250,300
8/23/2025,Capsicum,280,300
8/22/2025,Capsicum,250,260
8/21/2025,Capsicum,250,260
8/20/2025,Capsicum,180,200
8/19/2025,Capsicum,250,280
8/18/2025,Capsicum,270,280
8/17/2025,Capsicum,280,300
8/16/2025,Capsicum,280,300
8/15/2025,Capsicum,200,320
8/14/2025,Capsicum,250,330
8/13/2025,Capsicum,220,280
8/12/2025,Capsicum,180,250
8/11/2025,Capsicum,200,280
8/10/2025,Capsicum,280,300
8/9/2025,Capsicum,280,350
8/8/2025,Capsicum,270,300
8/7/2025,Capsicum,250,350
8/6/2025,Capsicum,300,350
8/5/2025,Capsicum,280,330
8/4/2025,Capsicum,300,380
8/3/2025,Capsicum,400,450
8/2/2025,Capsicum,400,450
8/1/2025,Capsicum,420,430
7/31/2025,Capsicum,450,500
7/30/2025,Capsicum,350,450
7/29/2025,Capsicum,350,400
7/28/2025,Capsicum,400,450
7/27/2025,Capsicum,350,450
7/26/2025,Capsicum,430,440
7/25/2025,Capsicum,450,480
7/24/2025,Capsicum,400,450
7/23/2025,Capsicum,400,500
7/22/2025,Capsicum,400,500
7/21/2025,Capsicum,440,450
7/20/2025,Capsicum,450,460
7/19/2025,Capsicum,440,450
7/18/2025,Capsicum,350,400
7/17/2025,Capsicum,400,450
7/16/2025,Capsicum,350,450
7/15/2025,Capsicum,450,480
7/14/2025,Capsicum,450,500
7/13/2025,Capsicum,450,470
7/12/2025,Capsicum,400,420
7/11/2025,Capsicum,470,480
7/10/2025,Capsicum,450,500
7/9/2025,Capsicum,450,480
7/8/2025,Capsicum,450,470
7/7/2025,Capsicum,470,480
7/6/2025,Capsicum,390,400
7/5/2025,Capsicum,350,400
7/4/2025,Capsicum,540,550
7/3/2025,Capsicum,400,450
7/2/2025,Capsicum,400,500
7/1/2025,Capsicum,450,500
6/30/2025,Capsicum,560,570
6/29/2025,Capsicum,500,550
6/28/2025,Capsicum,400,430
6/27/2025,Capsicum,340,350
6/26/2025,Capsicum,310,320
6/25/2025,Capsicum,290,300
6/24/2025,Capsicum,300,330
6/23/2025,Capsicum,350,400
6/22/2025,Capsicum,350,370
6/21/2025,Capsicum,370,380
6/20/2025,Capsicum,440,450
6/19/2025,Capsicum,440,450
6/18/2025,Capsicum,390,400
6/17/2025,Capsicum,350,400
6/16/2025,Capsicum,400,420
6/15/2025,Capsicum,450,460
6/14/2025,Capsicum,650,680
6/13/2025,Capsicum,600,620
6/12/2025,Capsicum,690,700
6/11/2025,Capsicum,650,700
6/10/2025,Capsicum,550,600
6/9/2025,Capsicum,530,550
6/8/2025,Capsicum,600,670
6/7/2025,Capsicum,650,700
6/6/2025,Capsicum,600,700
6/5/2025,Capsicum,700,720
6/4/2025,Capsicum,650,700
6/3/2025,Capsicum,730,750
6/2/2025,Capsicum,700,750
6/1/2025,Capsicum,670,680
5/31/2025,Capsicum,500,600
5/30/2025,Capsicum,670,700
5/29/2025,Capsicum,720,750
5/28/2025,Capsicum,790,800
5/27/2025,Capsicum,790,800
5/26/2025,Capsicum,740,750
5/25/2025,Capsicum,600,700
5/24/2025,Capsicum,730,750
5/23/2025,Capsicum,720,730
5/22/2025,Capsicum,650,700
5/21/2025,Capsicum,700,720
5/20/2025,Capsicum,680,700
5/19/2025,Capsicum,680,700
5/18/2025,Capsicum,850,900
5/17/2025,Capsicum,650,730
5/16/2025,Capsicum,700,800
5/15/2025,Capsicum,800,850
5/14/2025,Capsicum,740,750
5/13/2025,Capsicum,700,750
5/12/2025,Capsicum,800,850
5/11/2025,Capsicum,750,850
5/10/2025,Capsicum,700,750
5/9/2025,Capsicum,750,800
5/8/2025,Capsicum,800,850
5/7/2025,Capsicum,800,820
5/6/2025,Capsicum,800,820
5/5/2025,Capsicum,500,800
5/4/2025,Capsicum,600,750
5/3/2025,Capsicum,700,800
5/2/2025,Capsicum,650,750
5/1/2025,Capsicum,600,700
4/30/2025,Capsicum,,
4/29/2025,Capsicum,500,600
4/28/2025,Capsicum,450,600
4/27/2025,Capsicum,500,600
4/26/2025,Capsicum,550,700
4/25/2025,Capsicum,500,650
4/24/2025,Capsicum,500,650
4/23/2025,Capsicum,500,650
4/22/2025,Capsicum,400,550
4/21/2025,Capsicum,600,700
4/20/2025,Capsicum,550,650
4/19/2025,Capsicum,650,750
4/18/2025,Capsicum,700,800
4/17/2025,Capsicum,700,800
4/16/2025,Capsicum,800,850
4/15/2025,Capsicum,,
4/14/2025,Capsicum,,
4/13/2025,Capsicum,,
4/12/2025,Capsicum,700,800
4/11/2025,Capsicum,650,750
4/10/2025,Capsicum,650,750
4/9/2025,Capsicum,650,750
4/8/2025,Capsicum,600,700
4/7/2025,Capsicum,600,700
4/6/2025,Capsicum,600,700
4/5/2025,Capsicum,580,700
4/4/2025,Capsicum,650,800
4/3/2025,Capsicum,500,630
4/2/2025,Capsicum,500,650
4/1/2025,Capsicum,500,600
3/31/2025,Capsicum,450,600
3/30/2025,Capsicum,500,600
3/29/2025,Capsicum,450,600
3/28/2025,Capsicum,350,600
3/27/2025,Capsicum,450,600
3/26/2025,Capsicum,400,550
3/25/2025,Capsicum,450,600
3/24/2025,Capsicum,650,720
3/23/2025,Capsicum,550,650
3/22/2025,Capsicum,480,550
3/21/2025,Capsicum,500,600
3/20/2025,Capsicum,650,750
3/19/2025,Capsicum,500,650
3/18/2025,Capsicum,450,600
3/17/2025,Capsicum,450,600
3/16/2025,Capsicum,450,600
3/15/2025,Capsicum,450,600
3/14/2025,Capsicum,400,550
3/13/2025,Capsicum,,
3/12/2025,Capsicum,500,650
3/11/2025,Capsicum,450,600
3/10/2025,Capsicum,500,650
3/9/2025,Capsicum,450,600
3/8/2025,Capsicum,450,550
3/7/2025,Capsicum,400,500
3/6/2025,Capsicum,300,450
3/5/2025,Capsicum,350,500
3/4/2025,Capsicum,450,600
3/3/2025,Capsicum,450,600
3/2/2025,Capsicum,600,700
3/1/2025,Capsicum,500,700
2/28/2025,Capsicum,500,650
2/27/2025,Capsicum,600,750
2/26/2025,Capsicum,850,1000
2/25/2025,Capsicum,800,1000
2/24/2025,Capsicum,900,1000
2/23/2025,Capsicum,800,900
2/22/2025,Capsicum,800,950
2/21/2025,Capsicum,850,1000
2/20/2025,Capsicum,800,1000
2/19/2025,Capsicum,900,1100
2/18/2025,Capsicum,900,1050
2/17/2025,Capsicum,1000,1100
2/16/2025,Capsicum,900,1000
2/15/2025,Capsicum,800,1000
2/14/2025,Capsicum,800,950
2/13/2025,Capsicum,850,1100
2/12/2025,Capsicum,,
2/11/2025,Capsicum,1000,1150
2/10/2025,Capsicum,900,1100
